epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
111,0.219825,1.374736,99.9448,0.123340,0.547948,132.3196,4.8419,8.5740,0.4008
112,0.219805,1.374179,99.9748,0.123349,0.547949,132.3270,4.8418,8.5693,0.4003
113,0.219773,1.373957,99.9610,0.123353,0.547894,132.3483,4.8437,8.5782,0.3995
114,0.219782,1.373437,99.9229,0.123323,0.547335,132.1035,4.8387,8.5636,0.4087
115,0.219719,1.373152,99.8532,0.123323,0.547418,132.1456,4.8424,8.5596,0.4071
116,0.219690,1.372827,99.8806,0.123324,0.547427,132.2012,4.8465,8.5720,0.4050
117,0.219673,1.372281,99.9277,0.123334,0.547470,132.2262,4.8467,8.5686,0.4039
118,0.219641,1.372092,99.9215,0.123339,0.547448,132.2605,4.8487,8.5784,0.4026
119,0.218860,1.370285,100.0361,0.123354,0.547071,132.0563,4.8354,8.5584,0.4096
120,0.218824,1.370510,99.8770,0.123381,0.547010,131.9978,4.8275,8.5446,0.4113
121,0.218802,1.370573,99.7999,0.123400,0.546992,131.9703,4.8231,8.5352,0.4120
122,0.218783,1.370453,99.7545,0.123414,0.546954,131.9606,4.8204,8.5361,0.4121
123,0.218770,1.370289,99.7291,0.123425,0.546959,131.9552,4.8190,8.5305,0.4121
124,0.218753,1.370085,99.7105,0.123433,0.546935,131.9591,4.8182,8.5337,0.4118
125,0.218741,1.369881,99.7017,0.123441,0.546951,131.9621,4.8179,8.5296,0.4116
126,0.218725,1.369660,99.6937,0.123447,0.546933,131.9710,4.8178,8.5336,0.4112
