epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
160,0.144499,0.142824,0.167523,0.866506,49.6259,12.7831,5.7214,0.9526,0.4383,0.5951
161,0.144367,0.142825,0.154235,0.866074,50.3065,12.8449,5.7560,0.9558,0.4274,0.5908
162,0.144329,0.142626,0.170313,0.865479,49.9276,12.8548,5.7359,0.9720,0.4432,0.5967
163,0.144485,0.142856,0.162848,0.867570,50.0692,12.8996,5.7635,0.9673,0.4369,0.5945
164,0.144373,0.142852,0.152078,0.866969,49.8956,12.9384,5.7673,0.9780,0.4582,0.5963
165,0.144435,0.142833,0.160215,0.866090,50.1790,12.9918,5.8086,0.9274,0.4569,0.5992
166,0.144182,0.142624,0.155777,0.866285,50.2125,13.0171,5.7683,0.9497,0.4387,0.5981
167,0.144278,0.142767,0.151139,0.866214,49.7636,13.0258,5.7828,0.9436,0.4329,0.5995
168,0.144166,0.142689,0.147746,0.865457,50.1065,13.0888,5.7878,0.9740,0.4317,0.5975
169,0.144159,0.142590,0.156907,0.864986,49.9103,13.0831,5.8160,0.9664,0.4514,0.5974
170,0.144078,0.142596,0.148291,0.864443,49.9169,13.0734,5.7995,0.9819,0.4624,0.5992
171,0.144008,0.142603,0.140516,0.865362,49.9396,13.1265,5.8498,0.9405,0.4690,0.5949
172,0.143951,0.142515,0.143565,0.864637,50.0428,13.1392,5.8158,0.9765,0.4724,0.6018
173,0.144092,0.142689,0.140271,0.864296,49.7897,13.1909,5.8865,0.9442,0.4752,0.5981
174,0.143839,0.142480,0.135908,0.866085,50.3283,13.2243,5.8718,0.9511,0.4530,0.5994
175,0.144056,0.142718,0.133762,0.864448,49.6756,13.2505,5.8890,0.9120,0.4466,0.5951
176,0.143982,0.142620,0.136200,0.867119,50.2909,13.2669,5.8688,0.8833,0.4551,0.6010
177,0.144050,0.142706,0.134433,0.863370,49.7889,13.2807,5.9243,0.8662,0.4567,0.5975
178,0.143842,0.142497,0.134457,0.864897,50.2544,13.2666,5.9121,0.8857,0.4737,0.6047
179,0.143743,0.142344,0.139875,0.860469,49.9351,13.3040,5.9603,0.8926,0.4480,0.5975
180,0.143702,0.142330,0.137187,0.863167,49.9015,13.3133,5.9046,0.9296,0.4652,0.5980
181,0.143807,0.142452,0.135493,0.862550,49.7456,13.4014,5.9541,0.9219,0.4734,0.5970
182,0.143897,0.142382,0.151500,0.861574,50.2756,13.3484,5.9093,0.9166,0.4883,0.6018
183,0.143895,0.142624,0.127056,0.862708,49.6700,13.4334,5.9778,0.9265,0.4774,0.5932
184,0.143496,0.142179,0.131673,0.862334,50.0335,13.4695,5.9628,0.9594,0.4838,0.6007
185,0.143506,0.142089,0.141684,0.860717,49.9151,13.4790,6.0173,0.9261,0.4628,0.5907
186,0.143682,0.142264,0.141741,0.861942,50.2300,13.4763,5.9716,0.9455,0.4409,0.5998
187,0.143684,0.142360,0.132405,0.863044,49.8798,13.4812,6.0295,0.9358,0.4678,0.5877
188,0.143552,0.142193,0.135866,0.860762,50.2693,13.4842,6.0021,0.9215,0.4737,0.6001
189,0.143850,0.142465,0.138574,0.863564,49.7158,13.4862,6.0648,0.9330,0.4476,0.5903
190,0.143668,0.142267,0.140157,0.861404,50.4961,13.5207,6.0420,0.9232,0.4631,0.6000
191,0.143689,0.142445,0.124409,0.863031,49.5540,13.5307,6.0420,0.9357,0.4710,0.5902
192,0.143437,0.142127,0.130963,0.858843,50.2366,13.5553,6.0397,0.9651,0.4685,0.5936
193,0.143521,0.142159,0.136184,0.859338,49.7433,13.5853,6.0636,0.9301,0.4828,0.5842
194,0.143346,0.142090,0.125631,0.860799,50.1843,13.6344,6.0671,0.9658,0.4908,0.5850
195,0.143479,0.142007,0.147274,0.858205,49.7603,13.5984,6.0705,0.9521,0.4676,0.5842
196,0.143519,0.142242,0.127719,0.862891,49.8572,13.6885,6.0805,0.9738,0.4827,0.5862
197,0.143687,0.142214,0.147278,0.857850,50.0301,13.6411,6.1041,0.9087,0.4391,0.5813
198,0.143850,0.142525,0.132580,0.865381,49.8012,13.6777,6.1100,0.9118,0.4296,0.5883
199,0.143582,0.142309,0.127312,0.857658,49.9637,13.6871,6.1381,0.9002,0.4346,0.5816
200,0.143404,0.142016,0.138746,0.862988,49.8846,13.6941,6.1214,0.9499,0.4313,0.5880
201,0.143236,0.141979,0.125703,0.858005,49.8332,13.7264,6.1790,0.9437,0.4349,0.5787
202,0.143157,0.141824,0.133358,0.860002,50.0844,13.7370,6.1602,0.9626,0.4517,0.5854
203,0.143249,0.141959,0.128935,0.857860,49.7635,13.7527,6.1734,0.9719,0.4583,0.5758
204,0.143215,0.141900,0.131512,0.862600,50.1167,13.7919,6.1271,0.9512,0.4692,0.5810
205,0.143575,0.142135,0.143995,0.859865,49.7819,13.7936,6.1522,0.9449,0.4341,0.5744
206,0.143514,0.142364,0.114980,0.862569,50.6141,13.8290,6.1520,0.9558,0.4321,0.5810
