epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
121,0.339972,0.233097,2.137488,1.574373,102.8562,2.5591,8.9842,0.2550
122,0.339990,0.233014,2.139522,1.574518,102.9327,2.6176,8.8905,0.2705
123,0.340461,0.233331,2.142613,1.574296,102.9872,2.5329,9.1114,0.2693
124,0.339108,0.230269,2.176780,1.568211,102.8791,2.6446,9.0512,0.2592
125,0.339810,0.231982,2.156563,1.572044,103.3257,2.6290,8.9011,0.2781
126,0.340482,0.233025,2.149140,1.573041,102.7739,2.6468,9.2102,0.2544
127,0.340399,0.232671,2.154576,1.570790,103.1335,2.6442,9.1797,0.2776
128,0.339655,0.228251,2.228082,1.560447,103.3970,2.5836,9.0377,0.2650
129,0.339595,0.231929,2.153320,1.570143,102.7440,2.5008,8.8237,0.3157
130,0.338742,0.230664,2.161564,1.569858,102.9250,2.5695,8.9703,0.2677
131,0.339574,0.232347,2.144535,1.571072,102.6773,2.6347,9.0794,0.2842
132,0.339866,0.231549,2.166333,1.567783,102.9274,2.6247,9.1267,0.2514
133,0.340038,0.232311,2.154526,1.568782,102.8094,2.5929,9.1514,0.2885
134,0.338990,0.229074,2.198310,1.563248,103.4811,2.5783,8.9989,0.2564
135,0.339381,0.232026,2.147100,1.569937,102.8417,2.5289,9.0045,0.3043
136,0.338902,0.231230,2.153447,1.567742,102.6910,2.5372,8.8290,0.2700
137,0.339236,0.231826,2.148203,1.568994,102.6104,2.5562,9.1689,0.3026
138,0.338282,0.229007,2.185512,1.562382,102.9669,2.5727,8.9943,0.2657
139,0.339139,0.231221,2.158351,1.566842,102.6875,2.6225,8.8968,0.2899
140,0.339625,0.231522,2.162063,1.566597,102.7728,2.6393,9.2184,0.2659
141,0.339609,0.231053,2.171138,1.563925,102.6372,2.5727,9.1394,0.2890
142,0.338834,0.229323,2.190223,1.559317,102.5933,2.5441,8.9955,0.2705
143,0.338073,0.228391,2.193651,1.560058,102.8645,2.5250,8.8485,0.3114
144,0.338096,0.229427,2.173381,1.564137,102.8377,2.5728,8.9806,0.2690
145,0.338898,0.230997,2.158026,1.565292,102.5967,2.6415,9.1011,0.2902
146,0.339238,0.230499,2.174773,1.562569,102.7662,2.6007,8.8717,0.2648
147,0.339387,0.231491,2.157927,1.564911,102.6017,2.6322,9.2206,0.2625
148,0.339285,0.230878,2.168148,1.562090,102.6846,2.5520,9.1134,0.2814
149,0.337894,0.227142,2.215050,1.553685,102.6334,2.5538,9.0065,0.2698
150,0.338470,0.230104,2.167328,1.561697,102.9232,2.6176,8.9165,0.2632
151,0.339124,0.230680,2.168868,1.562418,102.8482,2.5130,9.1385,0.3199
152,0.337688,0.228344,2.186881,1.557755,102.3800,2.5488,8.9728,0.2953
153,0.338267,0.229962,2.166092,1.561369,102.6181,2.6423,9.1623,0.2996
154,0.338859,0.229860,2.179965,1.559400,102.7077,2.5340,9.1210,0.2876
155,0.338017,0.229862,2.163097,1.560549,102.5958,2.5395,8.9579,0.2881
