epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
154,0.149161,0.148950,0.021103,1.421046,31.6878,11.2317,6.8749,0.8504,0.3673,0.6744
155,0.148990,0.148840,0.015005,1.418228,31.9566,11.2733,6.8816,0.8319,0.3607,0.6763
156,0.148852,0.148708,0.014417,1.419068,31.6150,11.3124,6.8850,0.8393,0.3635,0.6747
157,0.148735,0.148567,0.016801,1.416685,31.9951,11.3534,6.8941,0.8559,0.3754,0.6769
158,0.148590,0.148260,0.032922,1.416422,31.5100,11.3918,6.8992,0.8483,0.3845,0.6738
159,0.148484,0.148268,0.021594,1.414731,32.1557,11.4332,6.9084,0.8483,0.3780,0.6771
160,0.148425,0.148091,0.033407,1.414719,31.3786,11.4705,6.9183,0.8607,0.3817,0.6737
161,0.148224,0.147978,0.024662,1.412900,32.1832,11.5109,6.9216,0.8796,0.3932,0.6782
162,0.148139,0.147655,0.048379,1.412066,31.3285,11.5486,6.9307,0.8943,0.4028,0.6742
163,0.147949,0.147598,0.035087,1.410204,32.0141,11.5887,6.9396,0.8844,0.3963,0.6768
164,0.147876,0.147462,0.041375,1.410502,31.4017,11.6281,6.9384,0.8870,0.4004,0.6750
165,0.147791,0.147328,0.046255,1.408423,31.8317,11.6685,6.9440,0.8749,0.3754,0.6763
166,0.147835,0.147197,0.063856,1.409107,31.5165,11.7107,6.8838,0.8206,0.3643,0.6738
167,0.147623,0.147230,0.039288,1.407033,31.7261,11.7722,6.8812,0.8028,0.3523,0.6702
168,0.147484,0.147064,0.041940,1.406454,31.5406,11.8237,6.8898,0.8097,0.3514,0.6702
169,0.147366,0.146887,0.047905,1.406564,31.7447,11.8560,6.8864,0.8258,0.3672,0.6726
170,0.147296,0.146740,0.055541,1.403557,31.4431,11.8968,6.8991,0.8400,0.3718,0.6771
171,0.147094,0.146550,0.054306,1.403670,31.6760,11.9378,6.9088,0.8460,0.3773,0.6753
172,0.147023,0.146420,0.060307,1.403085,31.4835,11.9751,6.9004,0.8400,0.3859,0.6734
173,0.146935,0.146398,0.053668,1.401152,31.5903,12.0146,6.9115,0.8508,0.3875,0.6763
174,0.146816,0.146162,0.065419,1.401501,31.4115,12.0546,6.9140,0.8634,0.3925,0.6759
175,0.146686,0.146141,0.054463,1.399824,31.5911,12.0949,6.9259,0.8698,0.3952,0.6766
176,0.146594,0.145904,0.069029,1.399111,31.3318,12.1344,6.9378,0.8594,0.4007,0.6760
177,0.146498,0.145838,0.066020,1.398665,31.6111,12.1729,6.9339,0.8706,0.3748,0.6737
178,0.146454,0.145752,0.070207,1.397175,31.2089,12.2121,6.9360,0.8426,0.3591,0.6741
179,0.146402,0.145791,0.061048,1.398073,31.7798,12.2522,6.9400,0.8268,0.3582,0.6758
180,0.146328,0.145632,0.069558,1.397069,31.0963,12.2906,6.9586,0.8347,0.3633,0.6741
181,0.146223,0.145559,0.066374,1.395974,31.9636,12.3292,6.9515,0.8520,0.3696,0.6759
182,0.146167,0.145424,0.074291,1.395600,30.8951,12.3667,6.9698,0.8656,0.3762,0.6734
183,0.146047,0.145338,0.070954,1.394700,32.0344,12.4052,6.9741,0.8734,0.3834,0.6755
184,0.145894,0.145159,0.073491,1.393396,30.8855,12.4429,6.9806,0.8890,0.3908,0.6740
185,0.145796,0.145038,0.075776,1.392864,31.7239,12.4815,6.9862,0.8767,0.3671,0.6752
186,0.145755,0.144986,0.076992,1.392774,31.2080,12.5165,6.9920,0.8153,0.3574,0.6747
187,0.145677,0.144920,0.075699,1.391087,31.4667,12.5360,6.9840,0.8120,0.3586,0.6786
188,0.145522,0.144778,0.074425,1.390669,31.2140,12.5757,6.9920,0.8237,0.3722,0.6771
189,0.145470,0.144559,0.091063,1.389560,31.3827,12.6161,7.0050,0.8408,0.3812,0.6756
190,0.145340,0.144454,0.088618,1.388516,31.1690,12.6532,7.0031,0.8559,0.3790,0.6781
191,0.145224,0.144439,0.078503,1.388807,31.3531,12.6942,7.0082,0.8622,0.3827,0.6769
192,0.145129,0.144306,0.082316,1.387712,31.1111,12.7357,7.0156,0.8561,0.3692,0.6774
193,0.145087,0.144192,0.089473,1.387515,31.4076,12.7742,7.0178,0.8626,0.3627,0.6751
194,0.145003,0.144145,0.085784,1.386115,31.0439,12.8151,7.0215,0.8470,0.3548,0.6759
195,0.144955,0.144119,0.083602,1.386197,31.3736,12.8561,7.0304,0.8474,0.3558,0.6771
196,0.144788,0.143940,0.084824,1.384862,31.0280,12.8974,7.0464,0.8617,0.3700,0.6775
197,0.144739,0.143725,0.101414,1.383113,31.3247,12.9370,7.0486,0.8534,0.3786,0.6758
198,0.144643,0.143709,0.093362,1.383671,30.9172,12.9778,7.0490,0.8603,0.3852,0.6759
199,0.144543,0.143581,0.096180,1.383301,31.3576,13.0180,7.0618,0.8417,0.3917,0.6747
200,0.144490,0.143504,0.098599,1.382395,30.8796,13.0592,7.0636,0.8488,0.3701,0.6756
201,0.144396,0.143459,0.093701,1.384061,31.3477,13.0977,7.0576,0.8602,0.3610,0.6734
202,0.144317,0.143389,0.092838,1.382476,30.8617,13.1394,7.0715,0.8602,0.3616,0.6744
203,0.144219,0.143239,0.097968,1.381590,31.3305,13.1763,7.0810,0.8429,0.3652,0.6759
204,0.144145,0.143167,0.097775,1.381897,30.7958,13.1958,7.0744,0.8535,0.3705,0.6792
205,0.143975,0.143026,0.094820,1.381282,31.3285,13.2384,7.0760,0.8705,0.3855,0.6764
206,0.144057,0.142844,0.121275,1.380870,30.5983,13.2796,7.0924,0.8619,0.3942,0.6751
207,0.143927,0.142878,0.104983,1.380803,31.6075,13.3162,7.0896,0.8338,0.3649,0.6763
208,0.143958,0.142935,0.102278,1.381575,30.4382,13.3575,7.0975,0.8373,0.3533,0.6752
209,0.143823,0.142788,0.103466,1.380446,31.6669,13.3954,7.0920,0.8532,0.3621,0.6745
210,0.143755,0.142615,0.114038,1.380072,30.3896,13.4374,7.1014,0.8464,0.3681,0.6788
211,0.143540,0.142531,0.100856,1.379549,31.4022,13.4764,7.1143,0.8368,0.3643,0.6742
212,0.143546,0.142436,0.110975,1.378369,30.5352,13.5201,7.1134,0.8480,0.3667,0.6793
213,0.143389,0.142331,0.105853,1.379711,31.2053,13.5578,7.1139,0.8422,0.3804,0.6717
214,0.143283,0.142169,0.111312,1.377881,30.6188,13.6030,7.1172,0.8491,0.3885,0.6778
215,0.143256,0.142154,0.110247,1.378843,31.0851,13.6421,7.1285,0.8517,0.3688,0.6716
216,0.143151,0.142036,0.111470,1.377692,30.6688,13.6858,7.1238,0.8673,0.3602,0.6751
